0,Cs2AgBiBr6
1,H6PbCBr3N
2,Cs3Bi2Cl9
3,CsPbI3
4,ZnSe
5,LiBiS2
6,GaSe
7,Cu3N
8,CuSbSe2
9,InP
10,K2Pb2O3
11,PbS
12,Sb2Se3
13,PbSe
14,SnS
15,HfPbO3
16,InCuSe2
17,BiI3
18,Bi2S3
19,BiIO
20,CsGeCl3
21,SbSeI
22,BiSeI
23,Cs3Sb2I9
24,CsPbCl3
25,SbSI
26,InI
27,SbI3
28,BiSBr
29,BiSI
30,GaAs
31,CdSe
32,InOF
33,SnI2
34,CsSnBr3
35,Sb2S3
36,CsGeI3
37,CaInBr3
38,RbGeBr3
39,AgBiS2
40,CaNb2O4
41,IO2F
42,CaTa4O11
43,BaSnO3
44,KSnSb
45,LiPN2
46,VCu3S4
47,CsB3O5
48,CdTe
49,Sr(NO3)2
50,GaCuSe2
51,CdInBr3
52,Li5ReO6
53,GaCuS2
54,CsBiS2
55,Bi2Se3
56,VBiO4
57,Bi2SeO2
58,CsPbBr3
59,BiSeBr
60,TlI
61,ZnTe
62,AlInI4
63,CsCl
64,Li16Nb2N8O
65,Cs2SnCl6
66,CsSnI3
67,LiNbGeO5
68,Ba2YSbO6
69,Cs2PO3F
70,KSO2F
71,Cs3Bi2I9
72,BaCdP2O7
73,CdS
74,SnSe
75,RbBe2F5
76,GeSe
77,LiYO2
78,Tl2GeS3
79,KAgF4
80,CaBiO3
81,InPO4
82,NbOF3
83,K2AgSb
84,Al2ZnSe4
85,K2Mg(CO3)2
86,Rb2PtF6
87,Ba4As2O
88,Rb2Li2GeO4
89,CdSO4
90,RbAgO
91,LiGaGeO4
92,KNaTe
93,Ca4As2O
94,Ga2O3
95,TlBS2
96,K2Sn2S5
97,Li3AsO4
98,LiBeAs
99,KSbSe2
100,LiAsO3
101,CaAlH5
102,Ba4Sb2O
103,Ba3(AsO4)2
104,HfS2
105,TlCdF3
